"","NUTS","DISTRICT_CODE","SUB_DISTRICT_CODE","REF_YEAR","REF_DATE","SEX","BRAND","BRAND_TOTAL"
"29092","AT13",90100,90100,2018,20181231,1,"MERCEDES",719
"29093","AT13",90100,90100,2018,20181231,1,"VW",695
"29094","AT13",90100,90100,2018,20181231,1,"BMW",643
"29095","AT13",90100,90100,2018,20181231,1,"AUDI",413
"29096","AT13",90100,90100,2018,20181231,1,"PORSCHE",257
"29097","AT13",90100,90100,2018,20181231,1,"VOLVO",142
"29098","AT13",90100,90100,2018,20181231,1,"FIAT",135
"29099","AT13",90100,90100,2018,20181231,1,"JAGUAR",128
"29100","AT13",90100,90100,2018,20181231,1,"SKODA",123
"29101","AT13",90100,90100,2018,20181231,1,"FORD",118
"29102","AT13",90100,90100,2018,20181231,1,"LANDROVER",115
"29103","AT13",90100,90100,2018,20181231,1,"PEUGEOT",104
"29104","AT13",90100,90100,2018,20181231,1,"RENAULT",104
"29105","AT13",90100,90100,2018,20181231,1,"TOYOTA",102
"29106","AT13",90100,90100,2018,20181231,1,"OPEL",100
"29107","AT13",90100,90100,2018,20181231,1,"MINI",94
"29108","AT13",90100,90100,2018,20181231,1,"CITROEN",91
"29109","AT13",90100,90100,2018,20181231,1,"SMART",76
"29110","AT13",90100,90100,2018,20181231,1,"MAZDA",71
"29111","AT13",90100,90100,2018,20181231,1,"ALFA-ROMEO",61
"29112","AT13",90100,90100,2018,20181231,1,"HYUNDAI",55
"29113","AT13",90100,90100,2018,20181231,1,"JEEP",53
"29114","AT13",90100,90100,2018,20181231,1,"SEAT",49
"29115","AT13",90100,90100,2018,20181231,1,"NISSAN",45
"29116","AT13",90100,90100,2018,20181231,1,"HONDA",39
"29117","AT13",90100,90100,2018,20181231,1,"KIA",39
"29118","AT13",90100,90100,2018,20181231,1,"SUZUKI",34
"29119","AT13",90100,90100,2018,20181231,1,"MASERATI",33
"29120","AT13",90100,90100,2018,20181231,1,"CHRYSLER",30
"29121","AT13",90100,90100,2018,20181231,1,"ROVER",29
"29122","AT13",90100,90100,2018,20181231,1,"LEXUS",28
"29123","AT13",90100,90100,2018,20181231,1,"CHEVROLET",26
"29124","AT13",90100,90100,2018,20181231,1,"MITSUBISHI",26
"29125","AT13",90100,90100,2018,20181231,1,"LANCIA",25
"29126","AT13",90100,90100,2018,20181231,1,"SAAB",23
"29127","AT13",90100,90100,2018,20181231,1,"SUBARU",22
"29128","AT13",90100,90100,2018,20181231,1,"BENTLEY",18
"29129","AT13",90100,90100,2018,20181231,1,"DACIA",17
"29130","AT13",90100,90100,2018,20181231,1,"FERRARI",16
"29131","AT13",90100,90100,2018,20181231,1,"TESLA",16
"29132","AT13",90100,90100,2018,20181231,1,"ROLLSROYCE",15
"29133","AT13",90100,90100,2018,20181231,1,"ASTONMARTIN",14
"29134","AT13",90100,90100,2018,20181231,1,"MG",13
"29135","AT13",90100,90100,2018,20181231,1,"DS",9
"29136","AT13",90100,90100,2018,20181231,1,"STEYRPUCH",9
"29137","AT13",90100,90100,2018,20181231,1,"TRIUMPH",9
"29138","AT13",90100,90100,2018,20181231,1,"CADILLAC",8
"29139","AT13",90100,90100,2018,20181231,1,"DODGE",7
"29140","AT13",90100,90100,2018,20181231,1,"AUSTIN",6
"29141","AT13",90100,90100,2018,20181231,1,"ANDERE",6
"29142","AT13",90100,90100,2018,20181231,1,"BRITISHLEYLAND",4
"29143","AT13",90100,90100,2018,20181231,1,"PUCH",4
"29144","AT13",90100,90100,2018,20181231,1,"DAIHATSU",3
"29145","AT13",90100,90100,2018,20181231,1,"LOTUS",3
"29146","AT13",90100,90100,2018,20181231,1,"STEYRFIAT",3
"29147","AT13",90100,90100,2018,20181231,1,"BUICK",2
"29148","AT13",90100,90100,2018,20181231,1,"CATERHAMCARS",2
"29149","AT13",90100,90100,2018,20181231,1,"LADA",2
