Pkw-Bestand - Automarken nach Geschlecht der Pkw-BesitzerInnen seit 2011 - Bezirke Wien | Stock of cars - Car brands aggregated by sex of vehicle owner since 2011 - districts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;BRAND;BRAND_TOTAL
AT13;90100;90100;2011;20111231;1;VW;772
AT13;90100;90100;2011;20111231;1;MERCEDES;755
AT13;90100;90100;2011;20111231;1;BMW;659
AT13;90100;90100;2011;20111231;1;AUDI;442
AT13;90100;90100;2011;20111231;1;PORSCHE;180
AT13;90100;90100;2011;20111231;1;RENAULT;179
AT13;90100;90100;2011;20111231;1;OPEL;162
AT13;90100;90100;2011;20111231;1;VOLVO;162
AT13;90100;90100;2011;20111231;1;PEUGEOT;147
AT13;90100;90100;2011;20111231;1;TOYOTA;142
AT13;90100;90100;2011;20111231;1;JAGUAR;137
AT13;90100;90100;2011;20111231;1;CHRYSLER;135
AT13;90100;90100;2011;20111231;1;FORD;135
AT13;90100;90100;2011;20111231;1;CITROEN;120
AT13;90100;90100;2011;20111231;1;SKODA;106
AT13;90100;90100;2011;20111231;1;FIAT;103
AT13;90100;90100;2011;20111231;1;MAZDA;100
AT13;90100;90100;2011;20111231;1;HONDA;76
AT13;90100;90100;2011;20111231;1;ALFA-ROMEO;70
AT13;90100;90100;2011;20111231;1;HYUNDAI;64
AT13;90100;90100;2011;20111231;1;LANDROVER;55
AT13;90100;90100;2011;20111231;1;NISSAN;48
AT13;90100;90100;2011;20111231;1;SAAB;48
AT13;90100;90100;2011;20111231;1;SEAT;46
AT13;90100;90100;2011;20111231;1;KIA;43
AT13;90100;90100;2011;20111231;1;ROVER;43
AT13;90100;90100;2011;20111231;1;LANCIA;37
AT13;90100;90100;2011;20111231;1;MITSUBISHI;37
AT13;90100;90100;2011;20111231;1;SUZUKI;36
AT13;90100;90100;2011;20111231;1;CHEVROLET;34
AT13;90100;90100;2011;20111231;1;LEXUS;27
AT13;90100;90100;2011;20111231;1;MASERATI;26
